event_id,disease,district,upazila,lat,lon,season_label,year,window_start,window_end,label,leaf_blast_incidence_pct,neck_blast_incidence_pct,leaf_blast_severity_pct,neck_blast_severity_pct,pct_fields_infected,avg_yield_loss_pct,affected_area_ha,note,source,precip_mean_mm,precip_max_mm,precip_sum_mm,precip_climatology_normal_mm,precip_anomaly_mm,rh_mean_pct,rh_max_pct,temp_mean_c,vpd_mean_kpa,wet_persistence_max_days,n_met_days,sar_vv_db_mean,sar_vh_db_mean,n_s1_scenes,ndvi_mean,ndwi_mean,lst_celsius_mean,n_landsat_scenes
RB_Dinajpur_Birganj_2017,rice_blast,Dinajpur,Birganj,26.0,88.5833,Boro 2017,2017,2016-12-01,2017-03-15,1,22.0,7.0,26.0,8.0,,,,LBI=22% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.3041904761904762,15.85,31.939999999999998,0.2763325635103926,0.027857912680083585,58.40838095238095,84.83,19.44352380952381,1.043072674176479,1.0,105,-7.804716468101534,-15.615104650244703,6,0.4347915919376941,-0.4020693883853562,23.75783926777345,4
RB_Dinajpur_Birganj_2018,rice_blast,Dinajpur,Birganj,26.0,88.5833,Boro 2018,2018,2017-12-01,2018-03-15,1,14.0,8.0,24.0,6.0,,,,NBI=8% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.11219047619047619,3.2,11.78,0.2736397228637414,-0.1614492466732652,60.5684761904762,88.75,18.79171428571429,0.9550206191893459,3.0,105,-7.710708688574599,-15.694425217701161,6,0.4390527228726657,-0.44944999972687594,28.141613475371102,4
RB_Dinajpur_Birganj_2019,rice_blast,Dinajpur,Birganj,26.0,88.5833,Boro 2019,2019,2018-12-01,2019-03-15,1,17.0,10.0,28.0,5.0,,,,LBI=17% >= 15%; NBI=10% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.3454285714285715,7.09,36.27,0.2736397228637414,0.07178884856483009,53.99895238095238,87.7,19.331714285714288,1.1290697592059158,1.0,105,-7.196897389097246,-15.326828388733459,6,0.3594556962122109,-0.40115473784514305,25.73362172328126,4
RB_Dinajpur_Kaharole_2017,rice_blast,Dinajpur,Kaharole,25.7917,88.6,Boro 2017,2017,2016-12-01,2017-03-15,1,19.0,8.0,24.0,9.0,,,,LBI=19% >= 15%; NBI=8% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.3041904761904762,15.85,31.939999999999998,0.2763325635103926,0.027857912680083585,58.40838095238095,84.83,19.44352380952381,1.043072674176479,1.0,105,-7.580115703545611,-14.9540250556207,6,0.42437892160568125,-0.39312445216721636,24.695565043789074,4
RB_Dinajpur_Kaharole_2018,rice_blast,Dinajpur,Kaharole,25.7917,88.6,Boro 2018,2018,2017-12-01,2018-03-15,1,15.0,9.0,22.0,11.0,,,,LBI=15% >= 15%; NBI=9% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.11219047619047619,3.2,11.78,0.2736397228637414,-0.1614492466732652,60.5684761904762,88.75,18.79171428571429,0.9550206191893459,3.0,105,-19.128859190271214,-26.953683280696243,6,0.44912722802339927,-0.45990385866584726,28.75217732533207,4
RB_Dinajpur_Kaharole_2019,rice_blast,Dinajpur,Kaharole,25.7917,88.6,Boro 2019,2019,2018-12-01,2019-03-15,1,20.0,11.0,25.0,10.0,,,,LBI=20% >= 15%; NBI=11% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.3454285714285715,7.09,36.27,0.2736397228637414,0.07178884856483009,53.99895238095238,87.7,19.331714285714288,1.1290697592059158,1.0,105,-7.6283709123725485,-14.980090011343847,6,0.34647552625967515,-0.3899697577300796,26.143260071386734,4
RB_Dinajpur_Sadar_2017,rice_blast,Dinajpur,Sadar,25.633,88.65,Boro 2017,2017,2016-12-01,2017-03-15,1,17.0,8.0,6.0,6.0,,,,LBI=17% >= 15%; NBI=8% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.2505714285714286,11.91,26.310000000000002,0.2495889145496536,0.0009825140217750161,60.02885714285715,84.47,19.361714285714285,1.0138078180130983,1.0,105,-8.937157159780492,-15.968865597801171,6,0.311966858793035,-0.3141066005328469,26.719393378085954,4
RB_Dinajpur_Sadar_2018,rice_blast,Dinajpur,Sadar,25.633,88.65,Boro 2018,2018,2017-12-01,2018-03-15,1,13.0,10.0,5.0,7.0,,,,NBI=10% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.18276190476190474,8.4,19.189999999999998,0.24727944572748264,-0.06451754096557791,63.21895238095237,90.88,18.669142857142855,0.8999012798903103,4.0,105,-8.734855938883465,-15.772935459229096,6,0.4371959967264261,-0.42890311031393563,28.81292395226562,4
RB_Dinajpur_Sadar_2019,rice_blast,Dinajpur,Sadar,25.633,88.65,Boro 2019,2019,2018-12-01,2019-03-15,1,18.0,12.0,11.0,5.0,,,,LBI=18% >= 15%; NBI=12% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.31066666666666665,7.26,32.62,0.24727944572748264,0.063387220939184,53.63314285714285,89.7,19.56819047619048,1.1705056044515798,1.0,105,-8.130832951133408,-15.303947907377774,6,0.3162599576656127,-0.36654879566879484,25.355369744375025,4
RB_Rangpur_Taraganj_2017,rice_blast,Rangpur,Taraganj,25.8117,89.017,Boro 2017,2017,2016-12-01,2017-03-15,1,13.0,8.0,18.0,3.0,,,,NBI=8% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.3041904761904762,15.85,31.939999999999998,0.2763325635103926,0.027857912680083585,58.40838095238095,84.83,19.44352380952381,1.043072674176479,1.0,105,-8.853183212247428,-16.84378190633421,6,0.3759147589382325,-0.35545255575943835,24.268516156308607,4
RB_Rangpur_Taraganj_2018,rice_blast,Rangpur,Taraganj,25.8117,89.017,Boro 2018,2018,2017-12-01,2018-03-15,1,6.0,9.0,17.0,2.0,,,,NBI=9% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.11219047619047619,3.2,11.78,0.2736397228637414,-0.1614492466732652,60.5684761904762,88.75,18.79171428571429,0.9550206191893459,3.0,105,-7.514231174580999,-15.966496733514155,6,0.42700269365012045,-0.4136635125144441,27.433245519921883,4
RB_Rangpur_Taraganj_2019,rice_blast,Rangpur,Taraganj,25.8117,89.017,Boro 2019,2019,2018-12-01,2019-03-15,1,12.0,10.0,20.0,4.0,,,,NBI=10% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.3454285714285715,7.09,36.27,0.2736397228637414,0.07178884856483009,53.99895238095238,87.7,19.331714285714288,1.1290697592059158,1.0,105,-6.4141112185090385,-14.601945069099466,6,0.37865192501859013,-0.39140247606712375,23.847515562031276,4
RB_Rangpur_Badarganj_2017,rice_blast,Rangpur,Badarganj,25.667,89.05,Boro 2017,2017,2016-12-01,2017-03-15,1,15.0,8.0,14.0,5.0,,,,LBI=15% >= 15%; NBI=8% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.2505714285714286,11.91,26.310000000000002,0.2495889145496536,0.0009825140217750161,60.02885714285715,84.47,19.361714285714285,1.0138078180130983,1.0,105,-7.798297364142546,-15.415774893330678,6,0.36352855749379565,-0.3496926588897394,24.396678554668,4
RB_Rangpur_Badarganj_2018,rice_blast,Rangpur,Badarganj,25.667,89.05,Boro 2018,2018,2017-12-01,2018-03-15,1,12.0,10.0,12.0,4.0,,,,NBI=10% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.18276190476190474,8.4,19.189999999999998,0.24727944572748264,-0.06451754096557791,63.21895238095237,90.88,18.669142857142855,0.8999012798903103,4.0,105,-7.314851348458478,-15.343299633470494,6,0.3860794413216008,-0.38863439172631586,28.111185086386755,4
RB_Rangpur_Badarganj_2019,rice_blast,Rangpur,Badarganj,25.667,89.05,Boro 2019,2019,2018-12-01,2019-03-15,1,21.0,11.0,15.0,3.0,,,,LBI=21% >= 15%; NBI=11% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.31066666666666665,7.26,32.62,0.24727944572748264,0.063387220939184,53.63314285714285,89.7,19.56819047619048,1.1705056044515798,1.0,105,-7.343302544836469,-15.11140554827179,6,,,,0
RB_Rangpur_Kaunia_2017,rice_blast,Rangpur,Kaunia,25.77,89.417,Boro 2017,2017,2016-12-01,2017-03-15,1,18.0,6.0,8.0,7.0,,,,LBI=18% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.30599999999999994,19.69,32.129999999999995,0.2614133949191686,0.04458660508083134,59.61228571428571,83.36,20.006095238095238,1.0469234544124828,1.0,105,-5.8516911485753935,-14.037213919160061,6,0.4140432681831558,-0.37872409512407124,23.94163461470704,4
RB_Rangpur_Kaunia_2018,rice_blast,Rangpur,Kaunia,25.77,89.417,Boro 2018,2018,2017-12-01,2018-03-15,0,8.0,7.0,7.0,8.0,,,,LBI=8% < 15% and NBI=7% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.1304761904761905,5.69,13.700000000000001,0.2589284064665127,-0.12845221599032222,63.8942857142857,86.63,19.181619047619048,0.8967873058844801,3.0,105,-5.596708236947072,-14.036091804781954,6,0.41880193287334516,-0.4011202382179509,27.178623057382822,4
RB_Rangpur_Kaunia_2019,rice_blast,Rangpur,Kaunia,25.77,89.417,Boro 2019,2019,2018-12-01,2019-03-15,1,21.0,10.0,9.0,7.0,,,,LBI=21% >= 15%; NBI=10% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.4256190476190477,13.22,44.690000000000005,0.2589284064665127,0.16669064115253496,58.47876190476191,88.15,19.434666666666665,1.0408887433609895,1.0,105,-5.767481216890903,-14.239578859618392,6,0.39548134983536254,-0.3913025164487879,22.750581485292983,4
RB_Bogura_Shibganj_2017,rice_blast,Bogura,Shibganj,25.017,89.317,Boro 2017,2017,2016-12-01,2017-03-15,1,21.0,3.0,20.0,9.0,,,,LBI=21% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.3356190476190476,22.61,35.239999999999995,0.32986605080831405,0.005752996810733546,61.749333333333325,83.71,20.12933333333334,1.005065332247973,1.0,105,-6.861395100619338,-14.916330517299704,6,0.3791722547713454,-0.359586778123987,25.098651074257816,4
