event_id,disease,district,upazila,lat,lon,season_label,year,window_start,window_end,label,leaf_blast_incidence_pct,neck_blast_incidence_pct,leaf_blast_severity_pct,neck_blast_severity_pct,pct_fields_infected,avg_yield_loss_pct,affected_area_ha,note,source,precip_mean_mm,precip_max_mm,precip_sum_mm,precip_climatology_normal_mm,precip_anomaly_mm,rh_mean_pct,rh_max_pct,temp_mean_c,vpd_mean_kpa,wet_persistence_max_days,n_met_days,sar_vv_db_mean,sar_vh_db_mean,n_s1_scenes,ndvi_mean,ndwi_mean,lst_celsius_mean,n_landsat_scenes,water_extent_frac,water_extent_frac_strict,water_extent_frac_max,monsoon_precip_mean_mm,monsoon_precip_max_mm,monsoon_precip_sum_mm,monsoon_precip_climatology_normal_mm,monsoon_precip_anomaly_mm,monsoon_rh_mean_pct,monsoon_rh_max_pct,monsoon_temp_mean_c,monsoon_vpd_mean_kpa,monsoon_wet_persistence_max_days,monsoon_n_met_days,monsoon_sar_vv_db_mean,monsoon_sar_vh_db_mean,monsoon_n_s1_scenes,monsoon_water_extent_frac,monsoon_water_extent_frac_strict,monsoon_water_extent_frac_max,monsoon_ndvi_mean,monsoon_ndwi_mean,monsoon_lst_celsius_mean,monsoon_n_landsat_scenes
RB_Rangpur_Taraganj_2018,rice_blast,Rangpur,Taraganj,25.8117,89.017,Boro 2018,2018,2017-12-01,2018-03-15,1,6.0,9.0,17.0,2.0,,,,NBI=9% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.1121904761904761,3.2,11.78,0.2736397228637414,-0.1614492466732652,60.5684761904762,88.75,18.79171428571429,0.955020619189346,3.0,105,-7.514231174580999,-15.966496733514155,6,0.4270026936501204,-0.4136635125144441,27.433245519921883,4.0,0.1611044644657608,0.1447473952936034,0.856672679038703,14.88270491803279,213.3,1815.6900000000005,11.993059523809524,2.889645394223267,87.68204918032787,96.01,28.634918032786885,0.5102707130429848,101.0,122.0,-10.18253285201366,,5.0,0.3524151642147874,0.344891537468141,0.8625844456043547,0.4428147304825181,-0.3966813068580939,28.22612824789064,3.0
RB_Rangpur_Taraganj_2019,rice_blast,Rangpur,Taraganj,25.8117,89.017,Boro 2019,2019,2018-12-01,2019-03-15,1,12.0,10.0,20.0,4.0,,,,NBI=10% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.3454285714285715,7.09,36.27,0.2736397228637414,0.07178884856483,53.99895238095238,87.7,19.331714285714288,1.1290697592059158,1.0,105,-6.4141112185090385,-14.601945069099466,6,0.3786519250185901,-0.3914024760671237,23.847515562031276,4.0,0.0117966128831201,0.0011923267988738,0.0282293060646612,12.547131147540984,66.9,1530.75,11.993059523809524,0.5540716237314616,86.9316393442623,93.56,28.78090163934426,0.5397344402262283,85.0,122.0,-6.938533478704548,,5.0,0.0190927548140012,0.0047353630511584,0.0302560316906188,0.135340908230476,-0.1234591095970871,24.13920440421877,4.0
RB_Rangpur_Badarganj_2017,rice_blast,Rangpur,Badarganj,25.667,89.05,Boro 2017,2017,2016-12-01,2017-03-15,1,15.0,8.0,14.0,5.0,,,,LBI=15% >= 15%; NBI=8% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.2505714285714286,11.91,26.31,0.2495889145496536,0.000982514021775,60.02885714285715,84.47,19.361714285714285,1.0138078180130985,1.0,105,-7.798297364142546,-15.415774893330678,6,0.3635285574937956,-0.3496926588897394,24.396678554668,4.0,0.1056160300584249,0.0802751871303902,0.2495655989631893,11.722704918032788,86.46,1430.17,9.87653968253968,1.8461652354931068,85.77975409836066,93.72,28.846065573770495,0.6020793204823705,98.0,122.0,-6.800555191484845,,5.0,0.0208752552597637,0.0093892840884953,0.0374623297112816,0.3762327267942689,-0.3455834957248816,40.81120222859377,3.0
RB_Rangpur_Badarganj_2018,rice_blast,Rangpur,Badarganj,25.667,89.05,Boro 2018,2018,2017-12-01,2018-03-15,1,12.0,10.0,12.0,4.0,,,,NBI=10% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.1827619047619047,8.4,19.19,0.2472794457274826,-0.0645175409655779,63.21895238095237,90.88,18.669142857142855,0.8999012798903103,4.0,105,-7.314851348458478,-15.343299633470494,6,0.3860794413216008,-0.3886343917263158,28.111185086386755,4.0,0.082394624302454,0.0512986910772181,0.2941515525124777,12.515409836065574,162.69,1526.88,9.898722222222222,2.616687613843352,87.6188524590164,95.39,28.698934426229513,0.5176382616249333,97.0,122.0,-7.685938991389548,,5.0,0.1363486057973857,0.1216306295863002,0.3183484868032403,0.2974488630772489,-0.2711944935702834,16.09775603585939,3.0
RB_Rangpur_Badarganj_2019,rice_blast,Rangpur,Badarganj,25.667,89.05,Boro 2019,2019,2018-12-01,2019-03-15,1,21.0,11.0,15.0,3.0,,,,LBI=21% >= 15%; NBI=11% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.3106666666666666,7.26,32.62,0.2472794457274826,0.063387220939184,53.63314285714285,89.7,19.56819047619048,1.1705056044515798,1.0,105,-7.343302544836469,-15.11140554827179,6,0.363688645523512,-0.3869277517930322,24.056882638671908,4.0,0.026849648552902,0.0037540367091944,0.056635378186883,9.443688524590163,49.65,1152.13,9.898722222222222,-0.4550336976320572,86.70631147540982,93.72,28.869590163934433,0.5528162820037704,88.0,122.0,-7.000101276292439,,5.0,0.0203622770838874,0.0069249258404481,0.0312578821190074,0.4060409610317447,-0.3806184984105644,23.344323380703145,3.0
RB_Rangpur_Kaunia_2017,rice_blast,Rangpur,Kaunia,25.77,89.417,Boro 2017,2017,2016-12-01,2017-03-15,1,18.0,6.0,8.0,7.0,,,,LBI=18% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.3059999999999999,19.69,32.129999999999995,0.2614133949191686,0.0445866050808313,59.61228571428571,83.36,20.00609523809524,1.0469234544124828,1.0,105,-5.8516911485753935,-14.03721391916006,6,0.4140432681831558,-0.3787240951240712,23.94163461470704,4.0,0.0336640617908121,0.0088898625873,0.0463102496448382,15.51122950819672,73.77,1892.37,12.52472222222222,2.9865072859745005,87.35508196721312,94.32,28.75098360655738,0.5202199749327868,105.0,122.0,-5.390204815232537,,5.0,0.0888110978287114,0.0553427675408153,0.107088906771004,0.3274447421398021,-0.300555288475262,40.67687137226568,3.0
RB_Rangpur_Kaunia_2018,rice_blast,Rangpur,Kaunia,25.77,89.417,Boro 2018,2018,2017-12-01,2018-03-15,0,8.0,7.0,7.0,8.0,,,,LBI=8% < 15% and NBI=7% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.1304761904761905,5.69,13.7,0.2589284064665127,-0.1284522159903222,63.8942857142857,86.63,19.181619047619048,0.8967873058844801,3.0,105,-5.596708236947072,-14.036091804781954,6,0.4188019328733451,-0.4011202382179509,27.178623057382826,4.0,0.0424948598917125,0.0123436042275588,0.0543097388504643,15.114098360655738,166.11,1843.92,12.532559523809525,2.5815388368462155,88.13262295081968,94.89,28.65295081967213,0.4838664735090748,100.0,122.0,-6.194485134278753,,5.0,0.0950408851644259,0.0526975689344115,0.0999377469356771,0.2784261497118495,-0.2567943288747331,15.498819239609398,3.0
RB_Rangpur_Kaunia_2019,rice_blast,Rangpur,Kaunia,25.77,89.417,Boro 2019,2019,2018-12-01,2019-03-15,1,21.0,10.0,9.0,7.0,,,,LBI=21% >= 15%; NBI=10% >= 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.4256190476190477,13.22,44.690000000000005,0.2589284064665127,0.1666906411525349,58.47876190476191,88.15,19.434666666666665,1.0408887433609897,1.0,105,-5.767481216890903,-14.239578859618392,6,0.3954813498353625,-0.3913025164487879,22.750581485292983,4.0,0.0336701669654429,0.0089430783424095,0.0471940894469527,12.67934426229508,70.73,1546.88,12.532559523809525,0.1467847384855574,86.87196721311474,93.38,28.913360655737705,0.5429323715124441,82.0,122.0,-5.81885119209168,,5.0,0.0883017620673165,0.053621767001981,0.1030900103636867,0.5266939583971239,-0.4800382973373762,12.655122286367202,3.0
RB_Bogura_Shibganj_2017,rice_blast,Bogura,Shibganj,25.017,89.317,Boro 2017,2017,2016-12-01,2017-03-15,1,21.0,3.0,20.0,9.0,,,,LBI=21% >= 15%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.3356190476190476,22.61,35.239999999999995,0.329866050808314,0.0057529968107335,61.749333333333325,83.71,20.12933333333334,1.005065332247973,1.0,105,-6.861395100619338,-14.916330517299704,6,0.3791722547713454,-0.359586778123987,25.098651074257816,4.0,0.0899552226860985,0.056193952913079,0.3045472582011146,10.57844262295082,54.58,1290.57,9.982646825396824,0.5957957975539934,86.03131147540984,92.33,28.8827868852459,0.5829798062402801,86.0,122.0,-6.019214842597077,,5.0,0.075807902478238,0.066836804141203,0.3385329820880622,0.3238918724913129,-0.3021764901822437,35.869630967421905,3.0
RB_Bogura_Shibganj_2018,rice_blast,Bogura,Shibganj,25.017,89.317,Boro 2018,2018,2017-12-01,2018-03-15,0,11.0,3.0,10.0,7.0,,,,LBI=11% < 15% and NBI=3% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.5963809523809523,21.08,62.62,0.3268314087759815,0.2695495436049708,68.16514285714285,92.79,19.138,0.787404557778852,4.0,105,-6.32224752875134,-14.61604642293239,6,0.4243423408970248,-0.4128330104990959,28.37880870898438,4.0,0.0933133716205977,0.0560756449829235,0.3317870804575438,14.249590163934425,91.52,1738.4499999999998,9.99572619047619,4.253863973458234,88.44745901639344,94.64,28.661967213114753,0.4695954913654934,102.0,122.0,-6.3154691621138825,,5.0,0.0780603484279524,0.0655012834236823,0.324131609167283,0.4680997849418369,-0.4192379353447198,30.270802943750013,4.0
