event_id,disease,district,season_label,year,window_start,window_end,label,leaf_blast_incidence_pct,neck_blast_incidence_pct,leaf_blast_severity_pct,neck_blast_severity_pct,pct_fields_infected,avg_yield_loss_pct,affected_area_ha,note,source
WB_Jhenaidah_2016,wheat_blast,Jhenaidah,2015-16,2016,2015-12-01,2016-02-28,1,,,,,8,51,unknown,Highest yield loss (51%),Islam et al. (2016) BMC Biology 14:84
WB_Bhola_2016,wheat_blast,Bhola,2015-16,2016,2015-12-01,2016-02-28,1,,,,,5,5,unknown,,Islam et al. (2016) BMC Biology 14:84
WB_Kushtia_2016,wheat_blast,Kushtia,2015-16,2016,2015-12-01,2016-02-28,1,,,,,2,10,unknown,,Islam et al. (2016) BMC Biology 14:84
WB_Barisal_2016,wheat_blast,Barisal,2015-16,2016,2015-12-01,2016-02-28,1,,,,,1,21,unknown,,Islam et al. (2016) BMC Biology 14:84
WB_Pabna_2016,wheat_blast,Pabna,2015-16,2016,2015-12-01,2016-02-28,1,,,,,0.2,18,unknown,Lowest infection,Islam et al. (2016) BMC Biology 14:84
WB_Dinajpur_2016,wheat_blast,Dinajpur,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Thakurgaon_2016,wheat_blast,Thakurgaon,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Panchagarh_2016,wheat_blast,Panchagarh,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Rangpur_2016,wheat_blast,Rangpur,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Nilphamari_2016,wheat_blast,Nilphamari,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Kurigram_2016,wheat_blast,Kurigram,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Gaibandha_2016,wheat_blast,Gaibandha,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Bogura_2016,wheat_blast,Bogura,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Joypurhat_2016,wheat_blast,Joypurhat,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Naogaon_2016,wheat_blast,Naogaon,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Rajshahi_2016,wheat_blast,Rajshahi,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Natore_2016,wheat_blast,Natore,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Sirajganj_2016,wheat_blast,Sirajganj,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Faridpur_2016,wheat_blast,Faridpur,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Rajbari_2016,wheat_blast,Rajbari,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Magura_2016,wheat_blast,Magura,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Narail_2016,wheat_blast,Narail,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Satkhira_2016,wheat_blast,Satkhira,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Khulna_2016,wheat_blast,Khulna,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Tangail_2016,wheat_blast,Tangail,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Jamalpur_2016,wheat_blast,Jamalpur,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Sherpur_2016,wheat_blast,Sherpur,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Mymensingh_2016,wheat_blast,Mymensingh,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Dhaka_2016,wheat_blast,Dhaka,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Comilla_2016,wheat_blast,Comilla,2015-16,2016,2015-12-01,2016-02-28,0,,,,,0,0,0,Wheat-growing district; not in 2016 outbreak zone,Islam et al. (2016) - inferred negative
WB_Meherpur_2015,wheat_blast,Meherpur,2014-15,2015,2014-12-01,2015-02-28,0,,,,,0,0,0,Pre-emergence: wheat blast not yet present in Asia,Kim & Choi (2020) Front Plant Sci - observed
WB_Chuadanga_2015,wheat_blast,Chuadanga,2014-15,2015,2014-12-01,2015-02-28,0,,,,,0,0,0,Pre-emergence: wheat blast not yet present in Asia,Kim & Choi (2020) Front Plant Sci - observed
WB_Jessore_2015,wheat_blast,Jessore,2014-15,2015,2014-12-01,2015-02-28,0,,,,,0,0,0,Pre-emergence: wheat blast not yet present in Asia,Kim & Choi (2020) Front Plant Sci - observed
WB_Jhenaidah_2015,wheat_blast,Jhenaidah,2014-15,2015,2014-12-01,2015-02-28,0,,,,,0,0,0,Pre-emergence: wheat blast not yet present in Asia,Kim & Choi (2020) Front Plant Sci - observed
WB_Bhola_2015,wheat_blast,Bhola,2014-15,2015,2014-12-01,2015-02-28,0,,,,,0,0,0,Pre-emergence: wheat blast not yet present in Asia,Kim & Choi (2020) Front Plant Sci - observed
WB_Kushtia_2015,wheat_blast,Kushtia,2014-15,2015,2014-12-01,2015-02-28,0,,,,,0,0,0,Pre-emergence: wheat blast not yet present in Asia,Kim & Choi (2020) Front Plant Sci - observed
WB_Barisal_2015,wheat_blast,Barisal,2014-15,2015,2014-12-01,2015-02-28,0,,,,,0,0,0,Pre-emergence: wheat blast not yet present in Asia,Kim & Choi (2020) Front Plant Sci - observed
WB_Pabna_2015,wheat_blast,Pabna,2014-15,2015,2014-12-01,2015-02-28,0,,,,,0,0,0,Pre-emergence: wheat blast not yet present in Asia,Kim & Choi (2020) Front Plant Sci - observed
WB_Dinajpur_2015,wheat_blast,Dinajpur,2014-15,2015,2014-12-01,2015-02-28,0,,,,,0,0,0,Pre-emergence: wheat blast not yet present in Asia,Kim & Choi (2020) Front Plant Sci - observed
WB_Rangpur_2015,wheat_blast,Rangpur,2014-15,2015,2014-12-01,2015-02-28,0,,,,,0,0,0,Pre-emergence: wheat blast not yet present in Asia,Kim & Choi (2020) Front Plant Sci - observed
WB_Bogura_2015,wheat_blast,Bogura,2014-15,2015,2014-12-01,2015-02-28,0,,,,,0,0,0,Pre-emergence: wheat blast not yet present in Asia,Kim & Choi (2020) Front Plant Sci - observed
WB_Rajshahi_2015,wheat_blast,Rajshahi,2014-15,2015,2014-12-01,2015-02-28,0,,,,,0,0,0,Pre-emergence: wheat blast not yet present in Asia,Kim & Choi (2020) Front Plant Sci - observed
WB_Meherpur_2017,wheat_blast,Meherpur,2016-17,2017,2016-12-01,2017-02-28,1,,,,,low/unquantified,3,low/unquantified,"Recurrence, lower severity (1-5% yield loss); milder weather + management",Gupta et al. (2021) Front Plant Sci; Kim & Choi (2020)
WB_Chuadanga_2017,wheat_blast,Chuadanga,2016-17,2017,2016-12-01,2017-02-28,1,,,,,low/unquantified,3,low/unquantified,"Recurrence, lower severity (1-5% yield loss); milder weather + management",Gupta et al. (2021) Front Plant Sci; Kim & Choi (2020)
WB_Jessore_2017,wheat_blast,Jessore,2016-17,2017,2016-12-01,2017-02-28,1,,,,,low/unquantified,3,low/unquantified,"Recurrence, lower severity (1-5% yield loss); milder weather + management",Gupta et al. (2021) Front Plant Sci; Kim & Choi (2020)
WB_Jhenaidah_2017,wheat_blast,Jhenaidah,2016-17,2017,2016-12-01,2017-02-28,1,,,,,low/unquantified,3,low/unquantified,"Recurrence, lower severity (1-5% yield loss); milder weather + management",Gupta et al. (2021) Front Plant Sci; Kim & Choi (2020)
WB_Bhola_2017,wheat_blast,Bhola,2016-17,2017,2016-12-01,2017-02-28,1,,,,,low/unquantified,3,low/unquantified,"Recurrence, lower severity (1-5% yield loss); milder weather + management",Gupta et al. (2021) Front Plant Sci; Kim & Choi (2020)
WB_Kushtia_2017,wheat_blast,Kushtia,2016-17,2017,2016-12-01,2017-02-28,1,,,,,low/unquantified,3,low/unquantified,"Recurrence, lower severity (1-5% yield loss); milder weather + management",Gupta et al. (2021) Front Plant Sci; Kim & Choi (2020)
WB_Barisal_2017,wheat_blast,Barisal,2016-17,2017,2016-12-01,2017-02-28,1,,,,,low/unquantified,3,low/unquantified,"Recurrence, lower severity (1-5% yield loss); milder weather + management",Gupta et al. (2021) Front Plant Sci; Kim & Choi (2020)
WB_Pabna_2017,wheat_blast,Pabna,2016-17,2017,2016-12-01,2017-02-28,1,,,,,low/unquantified,3,low/unquantified,"Recurrence, lower severity (1-5% yield loss); milder weather + management",Gupta et al. (2021) Front Plant Sci; Kim & Choi (2020)
